NAMA SEKOLAH,STATUS,JUMLAH,B_INDO,B_INGGRIS,MAT,FISIKA,KIMIA,BIOLOGI,RATA2
SMA 1 SEMIN,N,71,80.75,59.78,45.64,49.96,56.9,59.28,58.71833333
SMA NEGERI 1 TEMPEL,N,48,78.89,60.71,49.79,56.89,40.36,61.12,57.96
SMA NEGERI 1 KRETEK,N,50,71.65,57.47,50.83,69.93,38.8,57.61,57.715
SMA K SANG TIMUR YOGYAKARTA,S,23,82.75,64.96,53.48,42.11,44.35,58.57,57.70333333
SMA PANGUDI LUHUR SEDAYU,S,38,82.69,62.59,40.39,44.35,58.82,54.46,57.21666667
SMA NEGERI 1 NGAGLIK,N,92,79.61,64.24,40.42,57.81,41.33,58.94,57.05833333
SMA NEGERI 1 LENDAH,N,74,77.31,53.58,36.47,54.05,53.51,67.42,57.05666667
SMA NEGERI 2 SLEMAN,N,51,83.27,60.51,40.2,46.82,54.75,56.78,57.055
SMA BUDI MULIA DUA,S,49,81.04,74.26,43.62,46.47,45.61,50.71,56.95166667
SMA NEGERI 1 IMOGIRI,N,79,81.39,58.4,40.68,52.17,52.12,55.78,56.75666667
SMA 1 PATUK,N,14,82.22,58.78,41.91,44.81,54.46,56.5,56.44666667
SMA IT BINA UMAT,S,27,82.93,62.26,46.5,46.9,50.93,48.11,56.27166667
SMA ANGKASA,S,30,76.18,54.15,42.34,63.07,36.33,58.36,55.07166667
SMA MUHAMMADIYAH 2 YOGYAKARTA,S,177,79.7,65.26,36.07,51,42.95,55.03,55.00166667
SMA NEGERI 1 PLERET,N,79,81.25,55.81,36.21,54.58,48.13,53,54.83
SMA NEGERI 1 TURI,N,45,79,54.52,35.85,58.33,43.39,55.51,54.43333333
SMA UII BANGUNTAPAN,S,55,73.26,62.9,31.08,62.29,31.82,62.46,53.96833333
SMA 1 KARANGMOJO,N,116,80.68,56.23,35.2,50.04,48.28,52.54,53.82833333
SMA NEGERI 1 SEDAYU,N,153,79.73,56.19,35.67,49.63,51.29,48.9,53.56833333
SMA TAMAN MADYA JETIS YOGYAKARTA,S,22,66.47,53.54,52.05,52.42,37.61,58.68,53.46166667
SMA IMMANUEL KALASAN,S,4,81.28,61.38,38.75,39.55,47.5,51.25,53.285
SMA MUHAMMADIYAH BOARDING SCHOOL,S,27,83.15,59.32,39.89,41.16,43.61,51.08,53.035
SMA 1 PANGGANG,N,40,80.69,50.76,36.77,43.5,55.69,48.76,52.695
SMA NEGERI 1 KOKAP,N,17,79.13,57.05,35.01,36.52,50.74,57.55,52.66666667
SMA MUHAMMADIYAH AL MANAR GALUR,S,3,82.3,56.27,32.8,38.03,50,53.73,52.18833333
SMA MUHAMMADIYAH 1 SLEMAN,S,10,80.15,48.13,38.54,38.45,53.5,53.13,51.98333333
SMA 1 PLAYEN,N,21,80.68,51.88,44.95,42.74,42.62,49.03,51.98333333
SMA BOPKRI 2 YOGYAKARTA,S,50,78.32,57.63,38.77,47.75,39.75,48.61,51.805
SMA NEGERI 1 SRANDAKAN,N,31,76.29,51.21,31.39,55.35,45.24,49.72,51.53333333
SMA NEGERI 1 GIRIMULYO,N,37,74.68,49.68,41.38,37.45,45.81,58.45,51.24166667
SMA MUHAMMADIYAH MLATI,S,16,72.58,45.54,26.55,59.6,35.31,67.28,51.14333333
SMA NEGERI 1 PIYUNGAN,N,74,76.89,54.33,37.39,49.2,37.74,49.31,50.81
SMA MUHAMMADIYAH BANTUL,S,43,69.49,49.44,44.88,57.04,30.7,53.06,50.76833333
SMA BOPKRI BANGUNTAPAN,S,12,80.11,58.18,32.88,38.11,44.17,51.13,50.76333333
SMA 1 TANJUNGSARI,N,60,81.39,53.76,36.26,38.97,42.46,50.65,50.58166667
SMA MARSUDI LUHUR YOGYAKARTA,S,8,75.26,58.86,34.89,44.39,40.63,48.38,50.40166667
SMA IKIP VETERAN III TAMBAKROMO,S,12,81.63,47.28,39.44,37.93,46.67,49.22,50.36166667
SMA MUHAMMADIYAH 4 YOGYAKARTA,S,52,78.54,55.69,34.59,44.37,33.7,49.11,49.33333333
SMA NEGERI 1 DLINGO,N,38,76.42,54.54,34.85,39.52,44.47,46.16,49.32666667
SMA MUHAMMADIYAH WATES,S,16,79.83,56.11,33.5,36.83,41.41,47.76,49.24
SMA 1 SEMANU,N,23,81.17,49.05,39.5,31.37,45.43,48.52,49.17333333
SMA NEGERI 1 MINGGIR,N,61,76.34,52.2,34.69,35.44,44.96,48.91,48.75666667
SMA PEMBANGUNAN 2 KARANGMOJO,S,20,76.71,51.51,29.58,39.34,44.25,50.48,48.645
SMA GAMA YOGYAKARTA,S,20,79.48,51.77,36.74,48.12,32.63,42.65,48.565
SMA NEGERI 1 KALIBAWANG,N,33,76.35,52.34,31.57,41.05,43.48,45.13,48.32
SMA BUDYA WACANA YOGYAKARTA,S,20,79.5,54.41,36.71,32.25,42.63,44.2,48.28333333
SMA MUHAMMADIYAH WONOSARI,S,15,76.75,50.15,36.71,33.64,41.83,50.38,48.24333333
SMA MUHAMMADIYAH 3 YOGYAKARTA,S,141,78.08,58.09,30.82,38.42,39.26,44.66,48.22166667
SMA MUHAMMADIYAH 7 YOGYAKARTA,S,83,72.99,53.78,31.05,51.81,29.04,50.4,48.17833333
SMA NEGERI 1 SAMIGALUH,N,11,79.58,52.74,33.08,40.62,41.82,40.55,48.065
SMA SANTO MIKAEL SLEMAN,S,26,69.49,52.92,31.72,45.46,34.71,53.85,48.025
SMA MUHAMMADIYAH 6 YOGYAKARTA,S,20,68.26,52.21,36.75,50.15,31.75,47.13,47.70833333
SMA BOPKRI 3 YOGYAKARTA,S,3,81.63,55.8,27.9,31.3,34.17,45.37,46.02833333
SMA BUDI LUHUR YOGYAKARTA,S,10,65.69,53.02,38.65,50.73,26.75,41.17,46.00166667
SMA MUHAMMADIYAH PIYUNGAN,S,10,76.55,46.14,30.06,36.16,41.5,43.95,45.72666667
SMA PEMBANGUNAN 3 PONJONG,S,9,80.01,49.11,29.72,27.76,46.11,39.04,45.29166667
SMA SANTO THOMAS YOGYAKARTA,S,3,81,55.8,32.23,30.8,34.17,34.17,44.695
SMA ISLAM 1 PRAMBANAN,S,11,77.73,53.26,26.48,32.44,37.95,37.78,44.27333333
SMA ISLAM 3 SLEMAN,S,12,76.45,41.93,33.14,31.58,36.04,43.79,43.82166667
SMA TAMAN MADYA IBU PAWIYATAN YOGYAKARTA,S,19,75.07,50.84,26.96,33.67,37.89,37,43.57166667
SMA BHINNEKA TUNGGAL IKA YOGYAKARTA,S,4,60.15,45.53,31.1,46.85,38.13,35,42.79333333
SMA MUHAMMADIYAH 5 YOGYAKARTA,S,43,73.92,49.05,26.56,27.27,32.21,38.45,41.24333333
SMA 17 BANTUL,S,4,80.63,52.25,22.23,22.55,35,32.05,40.785
SMA DOMINIKUS WONOSARI,S,13,78.78,50.38,22.35,27.11,31.73,34.22,40.76166667
SMA MUHAMMADIYAH SEWON,S,13,71.15,48.07,27.3,30.45,30.96,36.35,40.71333333
SMA MUHAMMADIYAH PAKEM,S,19,77.2,48.08,24.21,26.97,29.61,37.69,40.62666667
SMA PIRI 1 YOGYAKARTA,S,21,74.8,43.32,26.32,25.41,30.48,40.84,40.195
SMA MUHAMMADIYAH PONJONG,S,15,72.75,42.99,28.43,29.35,32,35.47,40.165
SMA ISLAM 1 GAMPING,S,24,74.42,42.13,23.34,27.68,35.1,36.61,39.88
SMA BERBUDI YOGYAKARTA,S,6,71.5,45.25,26.18,29.27,33.75,29.85,39.3
SMA PEMBANGUNAN 1 WONOSARI,S,7,72.34,35.26,26.13,26.79,29.29,41.41,38.53666667
SMA MUHAMMADIYAH KALASAN,S,11,73.28,39.29,26.01,24.23,29.55,36.38,38.12333333
SMA MUHAMMADIYAH IMOGIRI,S,45,70.42,41.23,25,28.58,30.56,32.65,38.07333333
SMA DHARMA AMILUHUR,S,3,66.13,40.8,24.63,23.33,36.67,35.3,37.81
SMA PATRIA BANTUL,S,3,74.07,39.47,21.17,20.53,36.67,34.47,37.73
SMA MUHAMMADIYAH KASIHAN,S,9,69.54,36.22,21.89,28.18,29.17,38.19,37.19833333
SMA '17' YOGYAKARTA,S,17,66.47,40.83,19.44,39.09,25.29,30.07,36.865
SMA INSTITUT INDONESIA SLEMAN,S,6,62.75,37.78,26.68,24.15,30.83,37.5,36.615
SMA MA'ARIF WATES,S,12,69.72,37.15,21.97,24.38,28.54,34.23,35.99833333
SMA MANDALA BHAKTI,S,3,56.07,31.3,16.07,28.03,24.17,27.7,30.55666667
